,Time,X,Y,Z
42347,1654.2060000000001,105,-179,-952
42348,1654.2450000000001,109,-176,-944
42349,1654.284,105,-183,-952
42350,1654.323,101,-176,-952
42351,1654.362,109,-176,-944
42352,1654.401,109,-179,-948
42353,1654.441,105,-183,-948
42354,1654.48,109,-172,-944
42355,1654.519,109,-176,-948
42356,1654.558,109,-176,-952
42357,1654.5970000000002,101,-172,-952
42358,1654.6360000000002,105,-176,-948
42359,1654.6750000000002,113,-187,-948
42360,1654.7140000000002,109,-179,-956
42361,1654.7530000000002,105,-168,-948
42362,1654.7920000000001,113,-183,-940
42363,1654.8310000000001,105,-176,-952
42364,1654.8700000000001,105,-183,-948
42365,1654.909,113,-176,-956
42366,1654.948,105,-179,-944
42367,1654.987,113,-176,-952
42368,1655.026,109,-183,-952
42369,1655.066,113,-183,-952
42370,1655.105,109,-179,-948
42371,1655.144,109,-176,-948
42372,1655.183,113,-176,-952
42373,1655.2220000000002,113,-176,-952
42374,1655.2610000000002,109,-179,-944
42375,1655.3000000000002,109,-179,-948
42376,1655.3390000000002,113,-179,-952
42377,1655.3780000000002,117,-179,-948
42378,1655.4170000000001,113,-176,-952
42379,1655.4560000000001,117,-179,-948
42380,1655.4950000000001,121,-176,-956
42381,1655.534,113,-176,-952
42382,1655.573,113,-183,-944
42383,1655.612,113,-187,-952
42384,1655.651,113,-172,-948
42385,1655.691,113,-176,-952
42386,1655.73,109,-176,-948
42387,1655.769,113,-172,-948
42388,1655.808,113,-176,-952
42389,1655.8470000000002,109,-183,-948
42390,1655.8860000000002,113,-176,-952
42391,1655.9250000000002,109,-179,-948
42392,1655.9640000000002,113,-179,-948
42393,1656.0030000000002,109,-179,-952
42394,1656.0420000000001,109,-176,-952
42395,1656.0810000000001,113,-179,-956
42396,1656.1200000000001,113,-179,-952
42397,1656.159,105,-172,-948
42398,1656.198,113,-176,-952
42399,1656.237,109,-176,-952
42400,1656.276,101,-172,-952
42401,1656.316,109,-179,-940
42402,1656.355,105,-179,-952
42403,1656.394,109,-183,-952
42404,1656.433,109,-187,-948
42405,1656.4720000000002,105,-179,-952
42406,1656.5110000000002,105,-176,-952
42407,1656.5500000000002,105,-179,-944
42408,1656.5890000000002,109,-179,-956
42409,1656.6280000000002,101,-176,-952
42410,1656.6670000000001,105,-176,-948
42411,1656.7060000000001,105,-176,-952
42412,1656.7450000000001,113,-183,-952
42413,1656.784,109,-179,-948
42414,1656.823,105,-179,-948
42415,1656.862,109,-176,-944
42416,1656.901,105,-183,-948
42417,1656.941,109,-176,-952
42418,1656.98,117,-183,-948
42419,1657.019,109,-176,-952
42420,1657.058,109,-176,-952
42421,1657.0970000000002,117,-179,-944
42422,1657.1360000000002,113,-176,-956
42423,1657.1750000000002,117,-179,-952
42424,1657.2140000000002,113,-172,-952
42425,1657.2530000000002,113,-176,-948
42426,1657.2920000000001,117,-172,-948
42427,1657.3310000000001,121,-176,-948
42428,1657.3700000000001,113,-176,-952
42429,1657.409,113,-176,-948
42430,1657.448,117,-176,-948
42431,1657.487,113,-176,-948
42432,1657.526,117,-172,-948
42433,1657.566,117,-168,-952
42434,1657.605,117,-172,-956
42435,1657.644,117,-176,-952
42436,1657.683,113,-168,-948
42437,1657.7220000000002,117,-179,-948
42438,1657.7610000000002,117,-176,-959
42439,1657.8000000000002,113,-168,-952
42440,1657.8390000000002,121,-172,-940
42441,1657.8780000000002,113,-172,-952
42442,1657.9170000000001,113,-176,-952
42443,1657.9560000000001,113,-176,-944
42444,1657.9950000000001,113,-172,-948
42445,1658.034,117,-176,-952
42446,1658.073,117,-179,-952
42447,1658.112,117,-176,-952
42448,1658.151,113,-176,-952
42449,1658.191,113,-172,-948
42450,1658.23,109,-176,-948
42451,1658.269,105,-179,-948
42452,1658.308,109,-176,-948
42453,1658.3470000000002,105,-172,-952
42454,1658.3860000000002,113,-172,-952
42455,1658.4250000000002,109,-172,-944
42456,1658.4640000000002,113,-176,-952
42457,1658.5030000000002,109,-172,-948
42458,1658.5420000000001,113,-176,-952
42459,1658.5810000000001,109,-176,-948
42460,1658.6200000000001,113,-176,-944
42461,1658.659,109,-172,-956
42462,1658.698,113,-168,-952
42463,1658.737,109,-179,-948
42464,1658.776,113,-179,-952
42465,1658.816,113,-176,-948
42466,1658.855,113,-176,-948
42467,1658.894,105,-176,-948
42468,1658.933,113,-176,-952
42469,1658.9720000000002,109,-179,-944
42470,1659.0110000000002,113,-172,-948
42471,1659.0500000000002,109,-172,-948
42472,1659.0890000000002,109,-179,-948
42473,1659.1280000000002,113,-183,-952
42474,1659.1670000000001,113,-176,-952
42475,1659.2060000000001,117,-176,-948
42476,1659.2450000000001,113,-179,-940
42477,1659.284,117,-179,-952
42478,1659.323,113,-172,-956
42479,1659.362,117,-176,-936
42480,1659.401,109,-176,-944
42481,1659.441,113,-179,-952
42482,1659.48,117,-179,-952
42483,1659.519,113,-179,-948
42484,1659.558,117,-172,-948
42485,1659.5970000000002,117,-176,-956
42486,1659.6360000000002,113,-176,-948
42487,1659.6750000000002,109,-176,-944
42488,1659.7140000000002,117,-179,-948
42489,1659.7530000000002,117,-172,-948
42490,1659.7920000000001,117,-179,-952
42491,1659.8310000000001,117,-172,-948
42492,1659.8700000000001,117,-179,-952
42493,1659.909,117,-179,-952
42494,1659.948,113,-179,-948
42495,1659.987,109,-172,-948
42496,1660.026,117,-183,-944
42497,1660.066,121,-176,-952
42498,1660.105,113,-176,-948
42499,1660.144,117,-183,-944
42500,1660.183,113,-179,-948
42501,1660.2220000000002,117,-179,-948
42502,1660.2610000000002,113,-176,-952
42503,1660.3000000000002,113,-176,-952
42504,1660.3390000000002,113,-179,-956
42505,1660.3780000000002,113,-176,-952
42506,1660.4170000000001,113,-176,-944
42507,1660.4560000000001,109,-183,-948
42508,1660.4950000000001,113,-179,-952
42509,1660.534,117,-179,-952
42510,1660.573,113,-172,-944
42511,1660.612,117,-183,-948
42512,1660.651,117,-176,-952
42513,1660.691,109,-183,-952
42514,1660.73,117,-179,-948
42515,1660.769,117,-183,-944
42516,1660.808,121,-179,-956
42517,1660.8470000000002,117,-179,-952
