,Time,X,Y,Z
186,0.883,-0.1459674,0.12921704,9.743921
187,0.888,-0.09093051,0.12443122,9.7415285
188,0.893,-0.10289505,0.15793194,9.705635
189,0.897,-0.14357449,0.12203831,9.760673
190,0.902,-0.08135887,0.10050214,9.703242
191,0.907,-0.13878867,0.12443122,9.705635
192,0.912,-0.12443122,0.11246668,9.73435
193,0.916,-0.1483603,0.13400285,9.765458
194,0.921,-0.09332342,0.110073775,9.736743
195,0.926,-0.12203831,0.14118157,9.751101
196,0.931,-0.14118157,0.10289505,9.7415285
197,0.935,-0.11246668,0.15314612,9.722385
198,0.94,-0.11246668,0.13639577,9.746315
199,0.945,-0.15075321,0.13639577,9.731957
200,0.95,-0.12203831,0.16511066,9.755886
201,0.954,-0.12682413,0.13400285,9.710421
202,0.959,-0.10050214,0.14118157,9.731957
203,0.964,-0.15553902,0.15075321,9.739136
204,0.969,-0.10050214,0.15075321,9.722385
205,0.973,-0.13878867,0.13160995,9.748708
206,0.978,-0.09810923,0.1172525,9.758279
207,0.983,-0.13160995,0.15075321,9.731957
208,0.988,-0.10050214,0.17707519,9.708028
209,0.992,-0.1459674,0.14357449,9.715207
210,0.997,-0.16750357,0.13878867,9.719993
211,1.002,-0.13160995,0.12203831,9.729565
212,1.007,-0.12443122,0.16032484,9.7176
213,1.011,-0.14118157,0.13639577,9.770244
214,1.016,-0.07657306,0.1483603,9.743921
215,1.021,-0.10050214,0.15793194,9.7176
216,1.026,-0.13400285,0.1196454,9.753493
217,1.03,-0.12921704,0.13400285,9.736743
218,1.035,-0.12682413,0.1459674,9.729565
219,1.04,-0.18664683,0.1459674,9.708028
220,1.045,-0.09571633,0.17228939,9.729565
221,1.049,-0.09093051,0.12921704,9.70085
222,1.054,-0.07896597,0.107680865,9.736743
223,1.059,-0.105287954,0.110073775,9.748708
224,1.064,-0.1172525,0.13400285,9.779816
225,1.068,-0.107680865,0.15075321,9.751101
226,1.073,-0.107680865,0.14357449,9.708028
227,1.078,-0.110073775,0.14118157,9.727171
228,1.083,-0.13878867,0.13400285,9.760673
229,1.087,-0.12443122,0.1459674,9.69367
230,1.092,-0.17946811,0.09332342,9.724778
231,1.097,-0.14357449,0.15553902,9.705635
232,1.102,-0.12443122,0.16271774,9.7176
233,1.106,-0.09332342,0.12682413,9.743921
234,1.111,-0.18425392,0.1196454,9.760673
235,1.116,-0.12682413,0.1172525,9.743921
236,1.121,-0.12682413,0.1196454,9.748708
