Time,Qom,ComX,ComY,AomX1,AomY1,AomX2,AomY2
358400,655539,0.515608091458581,0.49405109383270873,0.842,0.39,0.8866666666666667,0.5166666666666667
358440,473718,0.4932106907485045,0.48439136786020376,0.8453333333333334,0.385,0.8826666666666667,0.485
358480,768440,0.5107843683306437,0.48954639919837595,0.8493333333333334,0.49,0.8886666666666667,0.59
358520,1175931,0.5311730257415899,0.49395369144391393,0.8286666666666667,0.455,0.8906666666666667,0.6133333333333333
358560,496409,0.48429428152994797,0.48512621648680826,0.5213333333333333,0.54,0.546,0.635
358600,590711,0.5003339534899469,0.48780662907355143,0.8193333333333334,0.39166666666666666,0.8646666666666667,0.4666666666666667
358640,466260,0.48532275697393434,0.4827415247572885,0.536,0.56,0.548,0.5866666666666667
358680,860903,0.5184697013871868,0.49855152283900356,0.6466666666666666,0.39166666666666666,0.6906666666666667,0.47333333333333333
358720,475322,0.5040190551527876,0.48866312380519605,0.666,0.405,0.7166666666666667,0.5566666666666666
358760,661411,0.5138881330972724,0.4929350459346255,0.6706666666666666,0.44166666666666665,0.704,0.5583333333333333
358800,468180,0.47970243353695885,0.4753071147849118,0.608,0.52,0.6246666666666667,0.5583333333333333
358840,858916,0.5229160585357978,0.49216804476029474,0.8406666666666667,0.4666666666666667,0.8913333333333333,0.6016666666666667
358880,467492,0.49391062806065844,0.4854188841734191,0.8393333333333334,0.39666666666666667,0.8753333333333333,0.4633333333333333
358920,638527,0.5111393963502455,0.49587783027708043,0.6593333333333333,0.4,0.7,0.54
358960,527063,0.5036431331105896,0.4900015905751937,0.6713333333333333,0.3883333333333333,0.6973333333333334,0.56
359000,781461,0.5152323242405357,0.487055118553581,0.666,0.4,0.7013333333333334,0.5466666666666666
359040,921789,0.5357804110629799,0.504690301504285,0.712,0.35333333333333333,0.758,0.43833333333333335
359080,511056,0.5018861612034691,0.48054646979326454,0.8506666666666667,0.3933333333333333,0.87,0.465
359120,699808,0.5044220548112243,0.4843377207272091,0.8273333333333334,0.39166666666666666,0.8666666666666667,0.4683333333333333
359160,541629,0.4974153661146897,0.4821080789002559,0.686,0.37333333333333335,0.6986666666666667,0.4533333333333333
359200,761776,0.5208822287216539,0.49498384258189626,0.10133333333333333,0.6916666666666667,0.132,0.7283333333333334
359240,463074,0.49054442558496764,0.47579111185973166,0.8293333333333334,0.475,0.8426666666666667,0.51
359280,662542,0.490382461287989,0.4791238492553429,0.5313333333333333,0.415,0.5573333333333333,0.5033333333333333
359320,485443,0.48588511936519824,0.48436662663450375,0.704,0.7166666666666667,0.7213333333333334,0.7733333333333333
359360,796234,0.5129969539942612,0.4913594035589204,0.644,0.36,0.698,0.455
359400,433983,0.48082806622993685,0.4831894528894757,0.6066666666666667,0.5466666666666666,0.6193333333333333,0.595
359440,652798,0.4820234937402788,0.4939387630885307,0.5373333333333333,0.38333333333333336,0.5553333333333333,0.4266666666666667
359480,531720,0.4932660209634144,0.4767760600817473,0.516,0.37333333333333335,0.524,0.43333333333333335
